NLB_ICAall_SSP0_NAN_LNDD_RES5_V04.csv, Comments: A sample ACCP 8K assessment output file
GV#, GVname, QIscore, mean error, RMSE
 1, AAOD_l_UV_column,    0.299,    0.480,    0.259
 2, AAOD_l_UV_PBL,    0.769,    0.400,    0.262
 3, AAOD_l_VIS_column,    0.280,    0.770,    0.372
 4, AAOD_l_VIS_PBL,    0.216,    0.239,    0.547
 5, AAOD_l_UV_column,    0.964,    0.537,    0.519
 6, AAOD_l_UV_PBL,    0.109,    0.298,    0.619
 7, AAOD_l_VIS_column,    0.547,    0.081,    0.294
 8, AAOD_l_VIS_PBL,    0.009,    0.004,    0.278
 9, ASYM_UV,    0.364,    0.612,    0.714
10, ASYM_VIS,    0.864,    0.498,    0.911
11, AEFR_l_column,    0.554,    0.327,    0.115
12, AEFR_l_PBL,    0.452,    0.928,    0.744
13, AE2BR_l_UV_column,    0.274,    0.406,    0.052
14, AE2BR_l_UV_PBL,    0.177,    0.731,    0.958
15, AE2BR_l_VIS_column,    0.956,    0.680,    0.393
16, AE2BR_l_VIS_PBL,    0.730,    0.662,    0.356
17, AE2BR_l_NIR_column,    0.023,    0.265,    0.966
18, AE2BR_l_NIR_PBL,    0.878,    0.252,    0.861
19, AODF_l_UV_column,    0.280,    0.113,    0.244
20, AODF_l_UV_PBL,    0.193,    0.516,    0.604
21, AODF_l_VIS_column,    0.428,    0.751,    0.860
22, AODF_l_VIS_PBL,    0.728,    0.598,    0.336
23, AODF_l_NIR_column,    0.102,    0.445,    0.293
24, AODF_l_NIR_PBL,    0.633,    0.371,    0.314
25, ANSPH_l_UV_column,    0.645,    0.171,    0.939
26, ANSPH_l_UV_PBL,    0.732,    0.035,    0.301
27, ANSPH_l_VIS_column,    0.534,    0.474,    0.694
28, ANSPH_l_VIS_PBL,    0.821,    0.210,    0.865
29, ANSPH_l_NIR_column,    0.288,    0.316,    0.658
30, ANSPH_l_NIR_PBL,    0.719,    0.814,    0.918
31, AOD_l_UV_column,    0.301,    0.907,    0.177
32, AOD_l_UV_PBL,    0.789,    0.507,    0.532
33, AOD_l_VIS_column,    0.288,    0.707,    0.723
34, AOD_l_VIS_PBL,    0.115,    0.706,    0.666
35, AOD_l_NIR_column,    0.295,    0.399,    0.758
36, AOD_l_NIR_PBL,    0.925,    0.192,    0.699
37, APM25,    0.096,    0.490,    0.892
38, ARIR_l_column,    0.213,    0.757,    0.220
39, ARIR_l_PBL,    0.917,    0.356,    0.829
40, AIIR_l_column,    0.353,    0.290,    0.158
41, AIIR_l_PBL,    0.061,    0.206,    0.702
42, AABS_z_UV_profile_above_PBL,    0.394,    0.072,    0.409
43, AABS_z_UV_profile_in_PBL,    0.708,    0.419,    0.100
44, AABS_z_VIS_profile_above_PBL,    0.785,    0.074,    0.668
45, AABS_z_VIS_profile_in_PBL,    0.987,    0.495,    0.956
46, AEFR_z_profile_above_PBL,    0.757,    0.105,    0.787
47, AEFR_z_profile_in_PBL,    0.889,    0.510,    0.284
48, AEXT_z_UV_profile_above_PBL,    0.333,    0.364,    0.030
49, AEXT_z_UV_profile_in_PBL,    0.355,    0.593,    0.231
50, AEXT_z_VIS_profile_above_PBL,    0.874,    0.137,    0.660
51, AEXT_z_VIS_profile_in_PBL,    0.281,    0.483,    0.121
52, AEXT_z_NIR_profile_above_PBL,    0.195,    0.142,    0.299
53, AEXT_z_NIR_profile_in_PBL,    0.463,    0.218,    0.033
54, AE2BR_z_UV_profile_above_PBL,    0.513,    0.435,    0.085
55, AE2BR_z_UV_profile_in_PBL,    0.773,    0.773,    0.461
56, AE2BR_z_VIS_profile_above_PBL,    0.567,    0.705,    0.159
57, AE2BR_z_VIS_profile_in_PBL,    0.342,    0.800,    0.977
58, AE2BR_z_NIR_profile_above_PBL,    0.552,    0.192,    0.211
59, AE2BR_z_NIR_profile_in_PBL,    0.801,    0.270,    0.824
60, AEXTF_z_UV_profile_above_PBL,    0.167,    0.504,    0.102
61, AEXTF_z_UV_profile_in_PBL,    0.091,    0.615,    0.997
62, AEXTF_z_VIS_profile_above_PBL,    0.795,    0.712,    0.871
63, AEXTF_z_VIS_profile_in_PBL,    0.473,    0.133,    0.656
64, AEXTF_z_NIR_profile_above_PBL,    0.682,    0.610,    0.015
65, AEXTF_z_NIR_profile_in_PBL,    0.595,    0.845,    0.410
66, ANSPH_z_UV_profile_above_PBL,    0.335,    0.859,    0.409
67, ANSPH_z_UV_profile_in_PBL,    0.247,    0.897,    0.408
68, ANSPH_z_VIS_profile_above_PBL,    0.471,    0.992,    0.896
69, ANSPH_z_VIS_profile_in_PBL,    0.730,    0.156,    0.940
70, ANSPH_z_NIR_profile_above_PBL,    0.247,    0.644,    0.765
71, ANSPH_z_NIR_profile_in_PBL,    0.072,    0.902,    0.689
72, ANC_z_profile_above_PBL,    0.540,    0.933,    0.462
73, ANC_z_profile_in_PBL,    0.480,    0.625,    0.185
