NLS_DRSall_SSP0_NAD_OCEN_RES2_V04.csv, Comments: A sample ACCP 8K assessment output file
GV#, GVname, QIscore, mean error, RMSE
 1, AAOD_l_UV_column,    0.332,    0.741,    0.574
 2, AAOD_l_UV_PBL,    0.082,    0.135,    0.435
 3, AAOD_l_VIS_column,    0.528,    0.171,    0.582
 4, AAOD_l_VIS_PBL,    0.766,    0.131,    0.490
 5, AAOD_l_UV_column,    0.293,    0.911,    0.859
 6, AAOD_l_UV_PBL,    0.089,    0.358,    0.299
 7, AAOD_l_VIS_column,    0.870,    0.369,    0.634
 8, AAOD_l_VIS_PBL,    0.565,    0.747,    0.147
 9, ASYM_UV,    0.728,    0.722,    0.682
10, ASYM_VIS,    0.796,    0.275,    0.147
11, AEFR_l_column,    0.322,    0.051,    0.472
12, AEFR_l_PBL,    0.451,    0.147,    0.428
13, AE2BR_l_UV_column,    0.039,    0.910,    0.008
14, AE2BR_l_UV_PBL,    0.853,    0.415,    0.274
15, AE2BR_l_VIS_column,    0.456,    0.754,    0.243
16, AE2BR_l_VIS_PBL,    0.951,    0.704,    0.187
17, AE2BR_l_NIR_column,    0.172,    0.060,    0.771
18, AE2BR_l_NIR_PBL,    0.497,    0.797,    0.422
19, AODF_l_UV_column,    0.126,    0.395,    0.642
20, AODF_l_UV_PBL,    0.896,    0.222,    0.770
21, AODF_l_VIS_column,    0.822,    0.396,    0.289
22, AODF_l_VIS_PBL,    0.682,    0.613,    0.424
23, AODF_l_NIR_column,    0.220,    0.913,    0.814
24, AODF_l_NIR_PBL,    0.194,    0.370,    0.289
25, ANSPH_l_UV_column,    0.644,    0.347,    0.020
26, ANSPH_l_UV_PBL,    0.857,    0.971,    0.451
27, ANSPH_l_VIS_column,    0.831,    0.424,    0.974
28, ANSPH_l_VIS_PBL,    0.281,    0.573,    0.134
29, ANSPH_l_NIR_column,    0.529,    0.301,    0.616
30, ANSPH_l_NIR_PBL,    0.133,    0.588,    0.810
31, AOD_l_UV_column,    0.428,    0.379,    0.780
32, AOD_l_UV_PBL,    0.029,    0.572,    0.763
33, AOD_l_VIS_column,    0.864,    0.909,    0.228
34, AOD_l_VIS_PBL,    0.202,    0.394,    0.494
35, AOD_l_NIR_column,    0.645,    0.508,    0.732
36, AOD_l_NIR_PBL,    0.996,    0.018,    0.615
37, APM25,    0.079,    0.769,    0.744
38, ARIR_l_column,    0.200,    0.087,    0.107
39, ARIR_l_PBL,    0.132,    0.702,    0.014
40, AIIR_l_column,    0.561,    0.909,    0.971
41, AIIR_l_PBL,    0.125,    0.514,    0.914
42, AABS_z_UV_profile_above_PBL,    0.699,    0.098,    0.126
43, AABS_z_UV_profile_in_PBL,    0.385,    0.921,    0.835
44, AABS_z_VIS_profile_above_PBL,    0.572,    0.914,    0.769
45, AABS_z_VIS_profile_in_PBL,    0.566,    0.891,    0.583
46, AEFR_z_profile_above_PBL,    0.505,    0.942,    0.994
47, AEFR_z_profile_in_PBL,    0.423,    0.424,    0.497
48, AEXT_z_UV_profile_above_PBL,    0.574,    0.991,    0.357
49, AEXT_z_UV_profile_in_PBL,    0.566,    0.620,    0.501
50, AEXT_z_VIS_profile_above_PBL,    0.281,    0.007,    0.591
51, AEXT_z_VIS_profile_in_PBL,    0.217,    0.015,    0.575
52, AEXT_z_NIR_profile_above_PBL,    0.580,    0.729,    0.144
53, AEXT_z_NIR_profile_in_PBL,    0.125,    0.231,    0.461
54, AE2BR_z_UV_profile_above_PBL,    0.371,    0.741,    0.982
55, AE2BR_z_UV_profile_in_PBL,    0.564,    0.998,    0.761
56, AE2BR_z_VIS_profile_above_PBL,    0.596,    0.395,    0.267
57, AE2BR_z_VIS_profile_in_PBL,    0.590,    0.562,    0.218
58, AE2BR_z_NIR_profile_above_PBL,    0.338,    0.192,    0.853
59, AE2BR_z_NIR_profile_in_PBL,    0.397,    0.996,    0.091
60, AEXTF_z_UV_profile_above_PBL,    0.694,    0.001,    0.936
61, AEXTF_z_UV_profile_in_PBL,    0.044,    0.432,    0.031
62, AEXTF_z_VIS_profile_above_PBL,    0.707,    0.017,    0.705
63, AEXTF_z_VIS_profile_in_PBL,    0.044,    0.447,    0.550
64, AEXTF_z_NIR_profile_above_PBL,    0.808,    0.294,    0.611
65, AEXTF_z_NIR_profile_in_PBL,    0.393,    0.037,    0.873
66, ANSPH_z_UV_profile_above_PBL,    0.100,    0.766,    0.026
67, ANSPH_z_UV_profile_in_PBL,    0.035,    0.641,    0.862
68, ANSPH_z_VIS_profile_above_PBL,    0.836,    0.340,    0.109
69, ANSPH_z_VIS_profile_in_PBL,    0.905,    0.154,    0.053
70, ANSPH_z_NIR_profile_above_PBL,    0.263,    0.538,    0.208
71, ANSPH_z_NIR_profile_in_PBL,    0.803,    0.462,    0.540
72, ANC_z_profile_above_PBL,    0.079,    0.683,    0.188
73, ANC_z_profile_in_PBL,    0.841,    0.324,    0.075
