sample1,,sample2,
Wavelength (nm),%T,Wavelength (nm),%T
2180.0,0.000407464,2180.0,0.007082401
2179.9,0.004345729,2179.9,0.007476543
2179.8,0.007336504,2179.8,0.007331934
2179.7,0.004363181,2179.7,0.009066664
2179.6,0.00313204,2179.6,0.006648009
2179.5,0.008572836,2179.5,0.006629662
2179.4,0.006289307,2179.4,0.007071657
2179.3,0.004639019,2179.3,0.006690703
2179.2,0.00510985,2179.2,0.004682641
2179.1,0.00776217,2179.1,0.01164561
2179.0,0.008643813,2179.0,0.006682484
2178.9,0.007354627,2178.9,0.011620782
2178.8,0.00939561,2178.8,0.005900765
2178.7,0.007314693,2178.7,0.01001613
2178.6,0.004286524,2178.6,0.005076329
2178.5,0.008934815,2178.5,0.010256764
2178.4,0.005693074,2178.4,0.013436059
2178.3,0.006489301,2178.3,0.005406301
2178.2,0.003364365,2178.2,0.010642358
2178.1,0.006641635,2178.1,0.008512286
2178.0,0.004516926,2178.0,0.008728185
2177.9,0.004473782,2177.9,0.01011983
2177.8,0.005786778,2177.8,0.012183584
2177.7,0.005538616,2177.7,0.009413696
2177.6,0.011541324,2177.6,0.009688102
2177.5,0.004898947,2177.5,0.006275237
2177.4,0.008090534,2177.4,0.012203597
2177.3,0.005944142,2177.3,0.010532217
2177.2,0.008604349,2177.2,0.011041651
2177.1,0.006414344,2177.1,0.008732827
2177.0,0.006880328,2177.0,0.010308942
2176.9,0.011086802,2176.9,0.011816161
2176.8,0.009434294,2176.8,0.014161154
2176.7,0.007148506,2176.7,0.012813089
2176.6,0.011063469,2176.6,0.006097207
2176.5,0.011712199,2176.5,0.013607326
2176.4,0.007999011,2176.4,0.013696441
2176.3,0.01331301,2176.3,0.006871422
2176.2,0.007138837,2176.2,0.011089715
2176.1,0.006110257,2176.1,0.008307767
2176.0,0.008305053,2176.0,0.005333566
2175.9,0.008362962,2175.9,0.011374193
2175.8,0.01216236,2175.8,0.010245485
2175.7,0.009124034,2175.7,0.010619042
2175.6,0.010922784,2175.6,0.017327186
2175.5,0.01211203,2175.5,0.011724965
2175.4,0.007210343,2175.4,0.009851551
2175.3,0.012495424,2175.3,0.009476408
2175.2,0.011370041,2175.2,0.012130056
2175.1,0.010622302,2175.1,0.01326706
2175.0,0.010249215,2175.0,0.013165972
2174.9,0.011977823,2174.9,0.010895099
2174.8,0.007926382,2174.8,0.010617438
2174.7,0.013990031,2174.7,0.012119821
2174.6,0.013879482,2174.6,0.010534035
2174.5,0.010564672,2174.5,0.014302078
2174.4,0.012074883,2174.4,0.016958034
2174.3,0.009052311,2174.3,0.014323399
2174.2,0.009819733,2174.2,0.012827765
2174.1,0.013216629,2174.1,0.01320863
2174.0,0.014727328,2174.0,0.01169884
2173.9,0.01170979,2173.9,0.013595103
2173.8,0.010970016,2173.8,0.01020737
2173.7,0.01737174,2173.7,0.012082304
2173.6,0.018114127,2173.6,0.011325895
2173.5,0.01624744,2173.5,0.014729273
2173.4,0.013984639,2173.4,0.013973488
2173.3,0.0139837,2173.3,0.016983908
2173.2,0.014725312,2173.2,0.016979679
2173.1,0.013975199,2173.1,0.01624167
2173.0,0.017741203,2173.0,0.015090258
2172.9,0.01360839,2172.9,0.016578546
2172.8,0.011990794,2172.8,0.017159389
2172.7,0.01721327,2172.7,0.013177239
2172.6,0.013581239,2172.6,0.016588574
2172.5,0.010946831,2172.5,0.018080467
2172.4,0.012460118,2172.4,0.013947285
2172.3,0.015834806,2172.3,0.019593533
2172.2,0.018457958,2172.2,0.01769362
2172.1,0.02034428,2172.1,0.020709829
2172.0,0.014323643,2172.0,0.018442089
2171.9,0.017710989,2171.9,0.018070424
2171.8,0.015833745,2171.8,0.020346804
2171.7,0.015443745,2171.7,0.019954428
2171.6,0.016196677,2171.6,0.018809116
2171.5,0.016967015,2171.5,0.018827392
2171.4,0.017694447,2171.4,0.021073306
2171.3,0.016195891,2171.3,0.02295699
2171.2,0.015060246,2171.2,0.020687366
2171.1,0.018052578,2171.1,0.025190827
2171.0,0.015811766,2171.0,0.019560458
2170.9,0.02331881,2170.9,0.026019206
2170.8,0.019540282,2170.8,0.024745777
2170.7,0.019547213,2170.7,0.022559978
