Baseline 100%T,,Baseline 0%T,,sample3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,
2800,2293.466797,2800,-0.1575068384,2800,5.161087513,
2798,2224.543213,2798,-0.0158497151,2798,10,
2796,2211.878906,2796,0.1052984148,2796,10,
2794,2222.979004,2794,-0.2137384862,2794,10,
2792,2234.046875,2792,-0.3051663935,2792,6.122432709,
2790,2262.645996,2790,-0.015937455,2790,10,
2788,2260.255615,2788,-0.2447265387,2788,10,
2786,2229.855469,2786,-0.06115130335,2786,4.471091747,
2784,2171.731201,2784,-0.1655556113,2784,4.382793903,
2782,2147.866455,2782,0.02918864414,2782,10,
2780,2141.951172,2780,0.01462120097,2780,10,
2778,2131.801758,2778,-0.09371957928,2778,10,
2776,2134.080811,2776,-0.2353322506,2776,3.930614471,
2774,2160.172119,2774,-0.01601242833,2774,4.233827591,
2772,2191.128418,2772,-0.27637586,2772,4.807990551,
2770,2210.748535,2770,0.04985257983,2770,10,
2768,2211.776855,2768,-0.148832038,2768,4.125526428,
2766,2252.205811,2766,-0.4177423716,2766,3.598380566,
2764,2353.446777,2764,0.0007758954889,2764,10,
2762,2442.930664,2762,0.06872238219,2762,4.384006977,
2760,2536.275146,2760,0.1186752319,2760,10,
2758,2615.388184,2758,-0.1654838622,2758,10,
2756,2623.050781,2756,-0.357696861,2756,4.126419067,
2754,2546.978271,2754,-0.1232974082,2754,10,
2752,2374.921631,2752,-0.0298047699,2752,10,
2750,2271.559326,2750,-0.1222885475,2750,4.531405449,
2748,2259.411865,2748,0.1401270479,2748,10,
2746,2328.26001,2746,-0.1828477234,2746,4.949460506,
2744,2446.196045,2744,-0.06758392602,2744,4.101161003,
2742,2573.041016,2742,-0.02887476049,2742,4.214614868,
2740,2607.798096,2740,-0.0934028849,2740,4.525451183,
2738,2469.257813,2738,-0.1378682554,2738,4.525683403,
2736,2282.265381,2736,0.05334286392,2736,10,
2734,2169.757568,2734,-0.1366108209,2734,10,
2732,2115.99707,2732,-0.0370606035,2732,10,
2730,2135.376953,2730,-0.09152291715,2730,10,
2728,2200.595215,2728,-0.04895613343,2728,10,
2726,2258.414551,2726,-0.2221686989,2726,4.01538372,
2724,2256.93457,2724,-0.1543155462,2724,4.035627365,
2722,2190.384521,2722,-0.08383335173,2722,10,
2720,2158.477539,2720,-0.2089430094,2720,3.977361917,
2718,2183.470215,2718,-0.1424078345,2718,10,
2716,2248.871826,2716,-0.0507931523,2716,10,
2714,2383.021729,2714,-0.1118511781,2714,10,
2712,2532.617432,2712,0.03368207812,2712,10,
2710,2599.178223,2710,-0.1878572106,2710,4.245168686,
2708,2525.754395,2708,-0.1659565419,2708,4.733969688,
2706,2369.562256,2706,-0.0366685316,2706,10,
2704,2275.917725,2704,-0.1679660231,2704,4.568720818,
2702,2244.631836,2702,0.1446702331,2702,10,
2700,2220.130859,2700,-0.005402068142,2700,10,
2698,2217.896484,2698,-0.1551615298,2698,5.037826538,
2696,2223.876709,2696,0.06543798745,2696,10,
2694,2150.25,2694,-0.06591038406,2694,4.849601269,
2692,2020.857422,2692,0.08440024406,2692,10,
2690,1907.822266,2690,-0.06529518962,2690,10,
2688,1866.27002,2688,-0.005137887318,2688,10,
2686,1879.109009,2686,0.006430562586,2686,10,
2684,1873.628174,2684,0.007832761854,2684,4.905187607,
