250	0.000216
260	0.000375
270	0.000618
280	0.000966
290	0.00145
300	0.00209
310	0.00292
320	0.00398
330	0.00529
340	0.00689
350	0.0088
370	0.0136
400	0.0235
450	0.0468
500	0.0767
550	0.11
555	0.113
600	0.142
650	0.171
654.6	0.173
700	0.194
750	0.212
800	0.224
900	0.233
1000	0.228
1050	0.221
1100	0.213
1150	0.204
1200	0.194
1300	0.174
1400	0.154
1500	0.135
1540	0.128
1600	0.118
1700	0.103
1800	0.0906
1900	0.0792
2000	0.0694
2100	0.0607
2200	0.0529
2300	0.0463
2400	0.041
2500	0.036
