24Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.2002- 3.8188   11.0418    10.9392     0.9379     0.0132     0.0005
 0.3800    1.2002- 3.8188    9.6318     9.5113     1.2669     0.0155     0.0011
 0.4512    1.2002- 3.8188    4.7987     4.8356    -0.7638     0.0076     0.0010
 0.4994    1.2002- 3.8188    9.1283     8.9393     2.1145     0.0080     0.0007
 0.5204    1.2002- 3.8150   10.5371    10.4401     0.9289     0.0089     0.0004
 0.6058    1.2002- 3.8074    6.2968     6.2606     0.5779     0.0053     0.0004
 0.6751    1.2002- 3.8150    6.9954     7.0055    -0.1446     0.0034     0.0006
 0.7791    1.2002- 3.8150    6.2916     6.2604     0.4989     0.0051     0.0003
 0.8645    1.2002- 3.8150    7.5864     7.6417    -0.7230     0.0034     0.0010
 1.0191    1.2002- 3.8150    7.8931     7.8985    -0.0681     0.0042     0.0003
 1.2413    1.2002- 3.8188    8.3404     8.4481    -1.2743     0.0046     0.0003
 1.5585    1.2002- 3.8150    8.5963     8.7061    -1.2607     0.0011     0.0017
 2.1391    1.2002- 3.8150    6.3800     6.4441    -0.9944     0.0052     0.0006


25Aug2008   UT:     std:5
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.2001-11.2223   11.0155    10.9392     0.6979     0.0130     0.0007
 0.3800    1.2001-11.9783    9.5896     9.5113     0.8234     0.0127     0.0008
 0.4512    1.2001-11.9783    4.7949     4.8356    -0.8416     0.0069     0.0014
 0.4994    1.2001-11.9783    9.1209     8.9393     2.0314     0.0079     0.0004
 0.5204    1.3102-11.9418   10.5196    10.4401     0.7611     0.0089     0.0004
 0.6058    1.2001-11.9783    6.2461     6.2606    -0.2318     0.0055     0.0004
 0.6751    1.2001-11.9783    6.9969     7.0055    -0.1223     0.0041     0.0007
 0.7791    1.2001-11.9783    6.2947     6.2604     0.5485     0.0052     0.0005
 0.8645    1.2001-11.9783    7.6005     7.6417    -0.5385     0.0031     0.0011
 1.0191    1.2001-11.9783    7.8950     7.8985    -0.0448     0.0043     0.0005
 1.2413    1.2001-11.9783    8.3417     8.4481    -1.2596     0.0056     0.0007
 1.5585    1.2001-11.9783    8.6241     8.7061    -0.9422     0.0032     0.0011
 2.1391    1.2001-11.9783    6.3877     6.4441    -0.8747     0.0069     0.0008

25Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.2001-11.0006   11.0155    10.9392     0.6974     0.0130     0.0007
 0.3800    1.2001- 7.1648    9.5768     9.5113     0.6891     0.0120     0.0004
 0.4512    1.2001- 4.5918    4.7812     4.8356    -1.1249     0.0055     0.0005
 0.4994    1.2001-11.9055    9.1203     8.9393     2.0245     0.0079     0.0004
 0.5204    1.3102-11.8695   10.5193    10.4401     0.7584     0.0088     0.0003
 0.6058    1.2001-11.9418    6.2459     6.2606    -0.2340     0.0055     0.0003
 0.6751    1.2001- 8.4484    6.9916     7.0055    -0.1991     0.0038     0.0004
 0.7791    1.2001- 8.4484    6.2909     6.2604     0.4867     0.0049     0.0003
 0.8645    1.2001- 5.5199    7.5856     7.6417    -0.7338     0.0022     0.0004
 1.0191    1.2001- 7.3443    7.8905     7.8985    -0.1014     0.0040     0.0002
 1.2413    1.2001- 7.1648    8.3316     8.4481    -1.3789     0.0050     0.0002
 1.5585    1.2001- 7.4592    8.6133     8.7061    -1.0665     0.0026     0.0007
 2.1391    1.2001- 7.3443    6.3813     6.4441    -0.9746     0.0064     0.0004

25Aug2008   UT:     std:2
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.2396- 4.3502   11.0077    10.9392     0.6258     0.0125     0.0003
 0.3800    1.2001- 4.5918    9.5743     9.5113     0.6622     0.0119     0.0003
 0.4512    1.2001- 3.6035    4.7773     4.8356    -1.2055     0.0050     0.0003
 0.4994    1.2001-11.9055    9.1179     8.9393     1.9980     0.0078     0.0003
 0.5204    1.3114-11.8695   10.5179    10.4401     0.7449     0.0088     0.0003
 0.6058    1.2001-11.9055    6.2456     6.2606    -0.2388     0.0055     0.0003
 0.6751    1.2187- 7.1648    6.9924     7.0055    -0.1864     0.0037     0.0001
 0.7791    1.2001- 3.7925    6.2859     6.2604     0.4072     0.0044     0.0001
 0.8645    1.2187- 4.2962    7.5852     7.6417    -0.7397     0.0021     0.0002
 1.0191    1.2005- 7.3302    7.8902     7.8985    -0.1045     0.0040     0.0001
 1.2413    1.2001- 4.2962    8.3293     8.4481    -1.4066     0.0048     0.0001
 1.5585    1.2001- 3.7406    8.5969     8.7061    -1.2542     0.0015     0.0003
 2.1391    1.2012- 4.4416    6.3766     6.4441    -1.0469     0.0060     0.0003


25Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.5004-10.7574   11.0232    10.9392     0.7683     0.0131     0.0005
 0.3800    1.5004-11.9783    9.5939     9.5113     0.8686     0.0127     0.0007
 0.4512    1.5004- 9.4915    4.7974     4.8356    -0.7899     0.0069     0.0010
 0.4994    1.5004-11.8695    9.1226     8.9393     2.0505     0.0079     0.0004
 0.5204    1.5004-11.8695   10.5212    10.4401     0.7773     0.0089     0.0003
 0.6058    1.5004-11.8695    6.2482     6.2606    -0.1986     0.0056     0.0003
 0.6751    1.5004- 8.4484    6.9951     7.0055    -0.1481     0.0039     0.0002
 0.7791    1.5004-11.9783    6.2953     6.2604     0.5574     0.0051     0.0003
 0.8645    1.5004- 5.5360    7.5912     7.6417    -0.6615     0.0024     0.0002
 1.0191    1.5004- 7.3443    7.8902     7.8985    -0.1056     0.0040     0.0002
 1.2413    1.5004- 7.3443    8.3366     8.4481    -1.3195     0.0052     0.0003
 1.5585    1.5004- 7.4592    8.6220     8.7061    -0.9662     0.0029     0.0005
 2.1391    1.5004-11.9783    6.3907     6.4441    -0.8281     0.0070     0.0007


25Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.8006-10.4394   11.0293    10.9392     0.8235     0.0132     0.0004
