; ATLAS-1 mean irradiance data for 29 March 1992
; 
; REFERENCE:
;
; R. P. Cebula, G. O. Thuillier, M. E. VanHoosier, E. Hilsenrath, M. Here,
; G. E. Brueckner, and P. C. Simon, "Observation of the solar irradiance in
; the 200-360 nm interval during the ATLAS-1 Mission: A comparison among
; three sets of measurements - SSBUV SOLSPEC, and SUSIM", Geo. Res. Letters,
; 23, 2289-2292, Aug 1996. 
;
;  for those using IDL, this data can be restored from the .xdr file
;
;	Column 1 contains the wavelengths in nanometers (nm). 
;	Column 2 contains the mean irradiance in units of 
;	  mW m^2 nm^1 for ATLAS-1 SSBUV,SOLSPEC,SUSIM 
;
;	irradiances are for  1-nm intervals with centers at half 
;	nanometers from 205.5 to 349.5 nm.  (150 data values)
;	
;       (1)          (2)
;
      200.500      7.90729
      201.500      8.58740
      202.500      9.01516
      203.500      9.91904
      204.500      11.0786
      205.500      11.4897
      206.500      12.0714
      207.500      13.7507
      208.500      16.4221
      209.500      22.5303
      210.500      29.1026
      211.500      35.1894
      212.500      34.7731
      213.500      35.5367
      214.500      41.5928
      215.500      38.7990
      216.500      35.1285
      217.500      38.0541
      218.500      46.9152
      219.500      50.7066
      220.500      50.4638
      221.500      43.3501
      222.500      52.0938
      223.500      64.3678
      224.500      62.2704
      225.500      54.2273
      226.500      42.5558
      227.500      42.3188
      228.500      52.5645
      229.500      50.2112
      230.500      52.4630
      231.500      52.3856
      232.500      53.0089
      233.500      46.3851
      234.500      41.3143
      235.500      50.3419
      236.500      49.7843
      237.500      48.3827
      238.500      43.5078
      239.500      44.8049
      240.500      41.9857
      241.500      52.7266
      242.500      69.9921
      243.500      69.0139
      244.500      63.6250
      245.500      55.6058
      246.500      51.8819
      247.500      55.3647
      248.500      48.3714
      249.500      56.0099
      250.500      60.5127
      251.500      48.5354
      252.500      44.1305
      253.500      52.7575
      254.500      62.4846
      255.500      81.7503
      256.500      105.962
      257.500      128.844
      258.500      131.145
      259.500      111.313
      260.500      91.4700
      261.500      94.0042
      262.500      108.075
      263.500      169.460
      264.500      250.286
      265.500      262.376
      266.500      262.335
      267.500      262.343
      268.500      256.078
      269.500      256.186
      270.500      278.550
      271.500      238.729
      272.500      213.384
      273.500      203.776
      274.500      149.485
      275.500      188.264
      276.500      251.744
      277.500      240.883
      278.500      165.681
      279.500      98.7038
      280.500      111.693
      281.500      215.642
      282.500      303.548
      283.500      326.579
      284.500      246.100
      285.500      190.513
      286.500      325.306
      287.500      347.745
      288.500      345.551
      289.500      485.726
      290.500      605.762
      291.500      595.311
      292.500      546.833
      293.500      545.185
      294.500      521.655
      295.500      556.897
      296.500      520.766
      297.500      514.470
      298.500      492.378
      299.500      491.303
      300.500      441.173
      301.500      466.100
      302.500      517.330
      303.500      635.510
      304.500      626.620
      305.500      615.841
      306.500      590.824
      307.500      643.187
      308.500      633.062
      309.500      538.803
      310.500      649.970
      311.500      747.831
      312.500      689.490
      313.500      723.001
      314.500      698.572
      315.500      650.009
      316.500      657.466
      317.500      775.314
      318.500      686.928
      319.500      727.460
      320.500      796.936
      321.500      717.657
      322.500      698.968
      323.500      690.681
      324.500      792.085
      325.500      900.273
      326.500      1011.09
      327.500      987.518
      328.500      1001.10
      329.500      1081.25
      330.500      1042.05
      331.500      999.749
      332.500      988.057
      333.500      969.942
      334.500      996.641
      335.500      984.757
      336.500      869.419
      337.500      893.144
      338.500      970.302
      339.500      1018.76
      340.500      1044.83
      341.500      970.797
      342.500      1027.07
      343.500      987.235
      344.500      873.670
      345.500      962.979
      346.500      966.419
      347.500      950.186
      348.500      950.344
      349.500      955.427
