UARS Average Solar Irradiance in units of mW/m^2/nm for 29 March 1992 
at 1 nm intervals from 119.5 nm (upper-left) to 410.5 nm (lower-right).
The number in parentheses at the top of each column is the wavelength for
the irradiance value directly below it.

   (119.5nm)  (169.5nm)  (219.5nm)  (269.5nm)  (319.5nm)  (369.5nm)
      0.113      0.639     49.213    248.920    741.690   1280.655
      0.808      0.719     49.661    278.462    836.334   1191.674
      7.088      0.754     41.424    233.631    727.723   1223.789
      1.648      0.793     51.736    205.276    716.072   1101.799
      0.076      0.834     65.582    207.256    687.890    962.283
      0.046      0.988     61.463    139.037    791.582    941.553
      0.038      1.177     54.771    181.767    913.117   1106.671
      0.047      1.335     41.410    252.687   1017.401   1132.581
      0.026      1.542     41.348    244.585    990.346   1334.104
      0.021      1.700     54.150    165.875    954.251   1377.329
      0.052      1.738     49.707     92.604   1101.861   1111.470
      0.151      2.025     54.362    101.587   1054.563   1247.459
      0.048      2.486     53.143    218.185   1003.424   1117.069
      0.050      2.471     55.412    304.987    992.758    819.823
      0.212      2.461     46.949    326.057    955.664    713.744
      0.054      2.248     40.774    245.949    995.133    992.947
      0.045      2.515     53.467    170.324    978.490   1047.229
      0.037      2.945     50.798    332.672    841.228   1043.720
      0.034      3.281     50.670    347.577    875.729   1039.181
      0.049      3.582     43.776    332.201    958.040   1019.653
      0.100      3.892     46.205    489.011    996.955   1214.075
      0.073      4.088     41.244    622.629   1043.561   1287.975
      0.049      4.532     53.243    602.284    960.585   1386.184
      0.054      4.497     73.401    538.749   1032.790   1058.834
      0.059      4.122     69.233    554.568    990.013    606.252
      0.059      5.668     63.678    526.893    830.089   1063.958
      0.063      5.919     51.803    569.561    974.749   1360.909
      0.081      6.521     52.720    524.042    962.519    883.480
      0.096      6.734     57.953    524.058    936.907    956.128
      0.092      6.706     47.706    482.128    934.199   1576.981
      0.090      7.205     58.808    502.020    927.443   1722.987
      0.098      7.929     63.106    437.548   1087.646   1742.982
      0.104      8.689     48.498    473.933   1018.746   1815.627
      0.133      8.910     43.359    507.556    944.925   1830.453
      0.148      9.944     53.862    646.589   1074.181   1756.012
      0.239     11.061     62.164    627.316   1151.300   1742.505
      0.247     11.406     82.390    617.652   1085.638   1737.003
      0.205     11.965    105.619    578.817    940.943   1657.319
      0.191     13.723    130.446    640.299    827.785   1690.717
      0.186     16.120    130.098    637.186    724.241   1803.023
      0.193     22.533    109.343    518.943   1034.679   1777.127
      0.214     29.434     89.792    652.105   1005.259   1584.798
      0.246     35.304     93.130    757.943    914.782
      0.280     33.008    108.747    682.597   1038.208
      0.323     34.608    167.519    727.047   1036.448
      0.335     42.015    259.655    689.960   1053.007
      0.478     38.015    263.494    658.365   1200.170
      0.442     33.857    259.665    656.473   1282.060
      0.427     36.803    261.641    803.844   1229.374
      0.496     46.503    254.318    692.383   1147.093
