UARS Average Solar Irradiance in units of mW/m^2/nm for 15 April 1993 
at 1 nm intervals from 119.5 nm (upper-left) to 410.5 nm (lower-right).
The number in parentheses at the top of each column is the wavelength for
the irradiance value directly below it.

   (119.5nm)  (169.5nm)  (219.5nm)  (269.5nm)  (319.5nm)  (369.5nm)
      0.064      0.608     48.567    247.274    735.527   1269.344
      0.581      0.685     49.002    276.701    833.496   1178.598
      5.074      0.712     40.974    232.314    724.185   1215.696
      1.226      0.751     51.403    204.367    712.933   1091.364
      0.049      0.791     65.233    203.408    684.582    952.577
      0.036      0.939     61.051    137.253    787.576    932.058
      0.030      1.117     54.131    181.335    906.669   1098.821
      0.036      1.263     40.794    251.357   1014.294   1122.681
      0.022      1.452     41.334    242.028    986.324   1326.528
      0.018      1.592     53.780    164.881    949.903   1373.686
      0.041      1.632     49.389     88.575   1098.203   1103.975
      0.125      1.896     53.962     97.968   1052.476   1244.117
      0.041      2.312     52.766    215.621    999.729   1119.924
      0.043      2.322     55.143    304.514    988.578    819.208
      0.174      2.323     46.321    324.543    954.091    708.195
      0.047      2.139     40.343    243.641    992.698    993.453
      0.039      2.392     53.229    168.889    976.587   1044.487
      0.032      2.795     50.296    334.062    837.958   1042.428
      0.030      3.115     50.152    348.198    871.471   1039.233
      0.041      3.407     43.438    333.638    953.975   1019.093
      0.078      3.695     45.684    489.391    991.937   1215.098
      0.063      3.897     40.948    622.506   1041.511   1291.421
      0.044      4.312     53.285    601.304    956.389   1388.925
      0.048      4.258     73.087    540.310   1028.177   1054.943
      0.053      3.942     68.876    554.361    984.111    602.787
      0.053      5.394     63.119    526.740    823.658   1061.956
      0.057      5.618     51.133    572.695    972.292   1360.053
      0.073      6.220     52.178    527.600    958.990    884.634
      0.088      6.409     57.456    525.201    933.493    961.528
      0.085      6.405     47.263    481.948    928.836   1575.728
      0.082      6.899     58.369    501.077    921.178   1722.168
      0.090      7.584     62.221    434.795   1087.166   1740.553
      0.096      8.306     47.634    471.634   1014.459   1807.577
      0.120      8.552     43.010    506.232    939.919   1821.377
      0.134      9.542     53.367    642.547   1068.717   1743.130
      0.213     10.613     61.762    623.703   1149.645   1732.755
      0.222     10.907     82.090    615.803   1082.282   1726.179
      0.191     11.474    105.374    575.260    944.516   1645.248
      0.178     13.103    129.785    636.656    824.132   1684.821
      0.173     15.576    129.501    633.011    717.985   1796.010
      0.182     22.134    107.666    513.955   1026.368   1774.924
      0.200     28.897     88.523    644.323   1005.159   1585.510
      0.231     34.719     92.964    754.874    909.144
      0.261     32.403    107.294    679.008   1032.556
      0.294     34.318    171.637    724.608   1032.065
      0.308     41.436    258.544    686.273   1049.097
      0.445     37.420    261.583    655.302   1193.004
      0.413     33.406    258.165    655.519   1275.762
      0.401     36.527    259.609    801.170   1222.302
      0.472     45.930    252.368    688.288   1139.600
