Wavelength	BW	O3	        NO2        a_H2O      b_H2O
nm      	nm	1/(atm cm)	1/(atm cm) 1/(atm-cm)	?
380.3	        4.6	0	        14.5098	   0	      0
448.25	        0.94	0.003103448	17.7342	   0	      0
452.97	        2.19	0.004137931	11.8228	   0	      0
499.4    	5.5	0.030344828	5.374	   0	      0
524.7	        5.6	0.056896552	4.8366	   0	      0
605.4	        5.7	0.135862069	0	   0	      0
666.8	        5.1	0.047931034	0	   0	      0
711.8	        5.1	0.017931034	0	   0	      0
778.5	        4.7	0.008275862	0	   0	      0
864.4    	5.3	0.002068966	0	   0	      0
939.5	        5	0.000689655	0	   0.005239   0.6179
1018.7	        5.3	0	        0	   0	      0
1059	        5.7	0	        0	   0	      0
1557.5	        4.8	0	        0	   0	      0

