Lambda(nm) TauMinusRayleighO3
930.571 0.0864219
932.384 0.120512
934.206 0.142602
936.027 0.138691
937.856 0.12578
939.683 0.0968674
941.519 0.0989545
943.364 0.108041
945.208 0.113127
947.05  0.109212
948.911 0.102297
950.76  0.0983803
952.617 0.0994634
954.484 0.0915461
956.349 0.087628
958.223 0.0827094
960.095 0.0807899
961.977 0.06887
963.867 0.0619497
965.756 0.0560286
967.643 0.0411067
969.539 0.0311843
971.433 0.0302611
973.337 0.0363375
975.249 0.0384135
977.16  0.0334887
979.069 0.0295631
980.988 0.0246372
982.904 0.0197104
984.83  0.0167833
986.765 0.0128558
988.699 0.0119276
990.63  0.0109985
992.571 0.0100691
994.51  0.00913897
996.459 0.00920849
998.405 0.00927722
1000.36 0.00934563
1002.32 0.0094133
1004.28 0.00848066
1006.24 0.00854728
1008.2  0.00961318
1010.17 0.00867875
1012.15 0.008744
1014.13 0.00880855
1016.1  0.00787243
1018.09 0.00893595
1020.07 0.00799881
1022.06 0.00906138
1024.05 0.00912327
1026.04 0.00918447
1028.04 0.00824541
1030.04 0.00830566
1032.04 0.00836563
1034.06 0.00842531
1036.06 0.00948403
1038.07 0.0105424
1040.09 0.0106005
1042.11 0.010658
1044.13 0.0117149
1046.15 0.0127712
1048.19 0.0128276
1050.21 0.0138829
1052.24 0.0159381
1054.27 0.0169926
1056.32 0.0190469
1058.35 0.0211006
1060.39 0.0221538
1062.44 0.0222067
1064.48 0.024259
1066.54 0.0243111
1068.59 0.0233626
1070.65 0.0204136
1072.71 0.0174643
1074.77 0.0165145
1076.82 0.0155642
1078.89 0.0156136
1080.96 0.0146625
1083.02 0.0137109
1085.09 0.014759
