        <---- for alpha3801020 ------>          <----- for alpha10201558----->			
wvl	acoeff	bcoeff	runc_s  runc_i		acoeff	bcoeff	 runc_s runc_i
0.3535	0.0997	-1.2967	0.0517	0.2463		0.0651	-1.6021	-0.0294	0.2110
0.3800	0.0919	-1.2563	0.0297	0.2828		0.0610	-1.5768	-0.0199	0.2231
0.4490	0.0785	-1.1558	0.0287	0.3116		0.0554	-1.5476	 0.0335	0.2005
0.4994	0.0696	-1.0706	0.0430	0.3149		0.0514	-1.5022	 0.0530	0.1896
0.5250	0.0654	-1.0307	0.0443	0.3209		0.0493	-1.4796	 0.0651	0.1848
0.6057	0.0539	-0.9090	0.0508	0.3277		0.0431	-1.3972	 0.0862	0.1828
0.6751	0.0460	-0.8151	0.0580	0.3291		0.0384	-1.3201  0.0951	0.1866
0.7784	0.0360	-0.6539	0.0647	0.3254		0.0322	-1.1665  0.1572	0.1873
0.8645	0.0300	-0.5590	0.0805	0.3184		0.0279	-1.0772	 0.1778	0.1897
0.9397	0.0257	-0.4690	0.0662	0.3225		0.0246	-0.9744	 0.1622	0.1930
1.0191	0.0219	-0.3643	0.0760	0.3075		0.0218	-0.8556	 0.2116	0.1906
1.0594	0.0212	-0.3674	0.0837	0.2884		0.0213	-0.8671	 0.2802	0.1357
1.2413	0.0164	-0.2912	0.0968	0.2675		0.0168	-0.7709	 0.2949	0.1328
1.5578	0.0111	-0.1327	0.0697	0.2451		0.0119	-0.5318	 0.2214	0.1360

