% Ozone absorption coefficient, 1/cm
% nm, 1/cm
380, 0.0000e+000 
 381, 2.6062e-005 
 382, 5.2123e-005 
 383, 7.8184e-005 
 384, 1.0425e-004 
 385, 1.3031e-004 
 386, 1.5637e-004 
 387, 1.8243e-004 
 388, 2.0849e-004 
 389, 2.3455e-004 
 390, 2.6062e-004 
 391, 2.8668e-004 
 392, 3.1274e-004 
 393, 3.3880e-004 
 394, 3.6486e-004 
 395, 3.9092e-004 
 396, 4.1698e-004 
 397, 4.4304e-004 
 398, 4.6911e-004 
 399, 4.9517e-004 
 400, 5.2123e-004 
 401, 5.4729e-004 
 402, 5.7335e-004 
 403, 5.9941e-004 
 404, 6.2548e-004 
 405, 6.5154e-004 
 406, 6.7760e-004 
 407, 7.0366e-004 
 408, 7.2972e-004 
 409, 7.5578e-004 
 410, 7.8184e-004 
 411, 7.9420e-004 
 412, 8.0656e-004 
 413, 8.1892e-004 
 414, 8.3128e-004 
 415, 8.4364e-004 
 416, 8.8931e-004 
 417, 9.3499e-004 
 418, 9.8066e-004 
 419, 1.0263e-003 
 420, 1.0720e-003 
 421, 1.2090e-003 
 422, 1.3461e-003 
 423, 1.4831e-003 
 424, 1.6201e-003 
 425, 1.7571e-003 
 426, 1.7727e-003 
 427, 1.7883e-003 
 428, 1.8039e-003 
 429, 1.8195e-003 
 430, 1.8351e-003 
 431, 1.9334e-003 
 432, 2.0317e-003 
 433, 2.1301e-003 
 434, 2.2284e-003 
 435, 2.3267e-003 
 436, 2.5331e-003 
 437, 2.7394e-003 
 438, 2.9458e-003 
 439, 3.1521e-003 
 440, 3.3584e-003 
 441, 3.4874e-003 
 442, 3.6164e-003 
 443, 3.7453e-003 
 444, 3.8743e-003 
 445, 4.0033e-003 
 446, 4.1215e-003 
 447, 4.2397e-003 
 448, 4.3579e-003 
 449, 4.4761e-003 
 450, 4.5943e-003 
 451, 4.8147e-003 
 452, 5.0350e-003 
 453, 5.2553e-003 
 454, 5.4756e-003 
 455, 5.6959e-003 
 456, 6.4751e-003 
 457, 7.2542e-003 
 458, 8.0334e-003 
 459, 8.8125e-003 
 460, 9.5917e-003 
 461, 9.6508e-003 
 462, 9.7099e-003 
 463, 9.7690e-003 
 464, 9.8281e-003 
 465, 9.8872e-003 
 466, 1.0091e-002 
 467, 1.0296e-002 
 468, 1.0500e-002 
 469, 1.0704e-002 
 470, 1.0908e-002 
 471, 1.1354e-002 
 472, 1.1800e-002 
 473, 1.2246e-002 
 474, 1.2692e-002 
 475, 1.3138e-002 
 476, 1.4331e-002 
 477, 1.5524e-002 
 478, 1.6717e-002 
 479, 1.7910e-002 
 480, 1.9103e-002 
 481, 1.9812e-002 
 482, 2.0521e-002 
 483, 2.1231e-002 
 484, 2.1940e-002 
 485, 2.2649e-002 
 486, 2.2569e-002 
 487, 2.2488e-002 
 488, 2.2408e-002 
 489, 2.2327e-002 
 490, 2.2246e-002 
 491, 2.2682e-002 
 492, 2.3117e-002 
 493, 2.3552e-002 
 494, 2.3987e-002 
 495, 2.4423e-002 
 496, 2.6094e-002 
 497, 2.7765e-002 
 498, 2.9436e-002 
 499, 3.1107e-002 
 500, 3.2778e-002 
 501, 3.4928e-002 
 502, 3.7077e-002 
 503, 3.9227e-002 
 504, 4.1376e-002 
 505, 4.3525e-002 
 506, 4.3310e-002 
 507, 4.3096e-002 
 508, 4.2881e-002 
 509, 4.2666e-002 
 510, 4.2451e-002 
 511, 4.2558e-002 
 512, 4.2666e-002 
 513, 4.2773e-002 
 514, 4.2881e-002 
 515, 4.2988e-002 
 516, 4.3955e-002 
 517, 4.4922e-002 
 518, 4.5890e-002 
 519, 4.6857e-002 
 520, 4.7824e-002 
 521, 4.9383e-002 
 522, 5.0941e-002 
 523, 5.2499e-002 
 524, 5.4057e-002 
 525, 5.5616e-002 
 526, 5.8195e-002 
 527, 6.0774e-002 
 528, 6.3354e-002 
 529, 6.5933e-002 
 530, 6.8512e-002 
 531, 6.9533e-002 
 532, 7.0554e-002 
 533, 7.1575e-002 
 534, 7.2596e-002 
 535, 7.3617e-002 
 536, 7.4369e-002 
 537, 7.5121e-002 
 538, 7.5874e-002 
 539, 7.6626e-002 
 540, 7.7378e-002 
 541, 7.8399e-002 
 542, 7.9420e-002 
 543, 8.0441e-002 
 544, 8.1462e-002 
 545, 8.2483e-002 
 546, 8.3021e-002 
 547, 8.3558e-002 
 548, 8.4095e-002 
 549, 8.4633e-002 
 550, 8.5170e-002 
 551, 8.6191e-002 
 552, 8.7212e-002 
 553, 8.8233e-002 
 554, 8.9254e-002 
 555, 9.0275e-002 
 556, 9.3069e-002 
 557, 9.5863e-002 
 558, 9.8657e-002 
 559, 1.0145e-001 
 560, 1.0425e-001 
 561, 1.0656e-001 
 562, 1.0887e-001 
 563, 1.1118e-001 
 564, 1.1349e-001 
 565, 1.1580e-001 
 566, 1.1773e-001 
 567, 1.1967e-001 
 568, 1.2160e-001 
 569, 1.2354e-001 
 570, 1.2547e-001 
 571, 1.2590e-001 
 572, 1.2633e-001 
 573, 1.2676e-001 
 574, 1.2719e-001 
 575, 1.2762e-001 
 576, 1.2655e-001 
 577, 1.2547e-001 
 578, 1.2440e-001 
 579, 1.2332e-001 
 580, 1.2225e-001 
 581, 1.2117e-001 
 582, 1.2010e-001 
 583, 1.1902e-001 
 584, 1.1795e-001 
 585, 1.1687e-001 
 586, 1.1725e-001 
 587, 1.1763e-001 
 588, 1.1800e-001 
 589, 1.1838e-001 
 590, 1.1875e-001 
 591, 1.1978e-001 
 592, 1.2080e-001 
 593, 1.2182e-001 
 594, 1.2284e-001 
 595, 1.2386e-001 
 596, 1.2536e-001 
 597, 1.2687e-001 
 598, 1.2837e-001 
 599, 1.2988e-001 
 600, 1.3138e-001 
 601, 1.3111e-001 
 602, 1.3084e-001 
 603, 1.3058e-001 
 604, 1.3031e-001 
 605, 1.3004e-001 
 606, 1.2843e-001 
 607, 1.2682e-001 
 608, 1.2520e-001 
 609, 1.2359e-001 
 610, 1.2198e-001 
 611, 1.2037e-001 
 612, 1.1875e-001 
 613, 1.1714e-001 
 614, 1.1553e-001 
 615, 1.1392e-001 
