%Mean HIS spectrum for Band 1 and standard deviation. 
%   24 individual spectra used in the average.
%
%     wavenumber       radiance          1 standard deviation
% data obtained from http://deluge.ssec.wisc.edu/~his/his/his.html
     564.250000        0.143036        0.068007 
     564.525513        0.084434        0.103854 
     564.801025        0.115163        0.054055 
     565.076538        0.101753        0.064149 
     565.352051        0.102030        0.034438 
     565.627564        0.123611        0.035329 
     565.903076        0.114144        0.042476 
     566.178589        0.060846        0.085223 
     566.454102        0.121077        0.061535 
     566.729614        0.125903        0.044379 
     567.005127        0.107366        0.051316 
     567.280640        0.147156        0.053292 
     567.556152        0.123155        0.162720 
     567.831665        0.141747        0.052897 
     568.107178        0.105201        0.050883 
     568.382691        0.133398        0.049579 
     568.658203        0.126616        0.052712 
     568.933716        0.180366        0.207316 
     569.209229        0.122684        0.037618 
     569.484741        0.058196        0.103741 
     569.760254        0.101677        0.048714 
     570.035767        0.125657        0.053119 
     570.311279        0.015887        0.086445 
     570.586792        0.151569        0.080583 
     570.862305        0.193801        0.255994 
     571.137818        0.114963        0.029326 
     571.413330        0.117819        0.079947 
     571.688843        0.093201        0.070333 
     571.964356        0.095213        0.039400 
     572.239868        0.098009        0.051188 
     572.515381        0.112314        0.082199 
     572.790894        0.085085        0.038504 
     573.066406        0.127930        0.063106 
     573.341919        0.106778        0.025637 
     573.617432        0.106693        0.038866 
     573.892945        0.117768        0.052721 
     574.168457        0.127932        0.039565 
     574.443970        0.100868        0.044538 
     574.719483        0.108977        0.038762 
     574.994995        0.129455        0.028662 
     575.270508        0.095742        0.043949 
     575.546021        0.135206        0.045211 
     575.821533        0.081699        0.033005 
     576.097046        0.063480        0.043049 
     576.372559        0.081803        0.037909 
     576.648072        0.092178        0.043389 
     576.923584        0.113085        0.045219 
     577.199097        0.098683        0.020149 
     577.474610        0.123261        0.040999 
     577.750122        0.091122        0.026327 
     578.025635        0.105671        0.014383 
     578.301148        0.118089        0.023378 
     578.576660        0.111417        0.017555 
     578.852173        0.121592        0.015872 
     579.127686        0.109519        0.016702 
     579.403199        0.110190        0.012013 
     579.678711        0.110136        0.015587 
     579.954224        0.118178        0.013557 
     580.229737        0.105700        0.012684 
     580.505249        0.080769        0.015085 
     580.780762        0.079332        0.012065 
     581.056275        0.081711        0.013985 
     581.331787        0.098027        0.009844 
     581.607300        0.105713        0.012691 
     581.882813        0.120422        0.008333 
     582.158326        0.114397        0.006740 
     582.433838        0.100529        0.008391 
     582.709351        0.107792        0.008710 
     582.984864        0.113231        0.006217 
     583.260376        0.122271        0.006352 
     583.535889        0.124834        0.006146 
     583.811402        0.116047        0.008651 
     584.086914        0.100001        0.005584 
     584.362427        0.102331        0.006104 
     584.637940        0.093340        0.006310 
     584.913453        0.094128        0.006706 
     585.188965        0.122311        0.005647 
     585.464478        0.102917        0.005598 
     585.739991        0.095559        0.006316 
     586.015503        0.116254        0.004374 
     586.291016        0.116003        0.005655 
     586.566529        0.120408        0.006401 
     586.842041        0.123100        0.005841 
     587.117554        0.101555        0.005154 
     587.393067        0.088101        0.005211 
     587.668580        0.117977        0.004635 
     587.944092        0.119926        0.006503 
     588.219605        0.118645        0.004720 
     588.495118        0.123633        0.004145 
     588.770630        0.070074        0.004644 
     589.046143        0.053974        0.005378 
     589.321656        0.081333        0.004338 
     589.597168        0.091034        0.003894 
     589.872681        0.110310        0.004437 
     590.148194        0.107200        0.003552 
     590.423707        0.080720        0.003964 
     590.699219        0.091097        0.004471 
     590.974732        0.109831        0.003952 
     591.250245        0.095001        0.004841 
     591.525757        0.086169        0.004176 
     591.801270        0.070996        0.004940 
     592.076783        0.066014        0.004829 
     592.352295        0.095526        0.004782 
     592.627808        0.104726        0.003876 
     592.903321        0.107780        0.003020 
     593.178834        0.112705        0.003501 
     593.454346        0.089597        0.003513 
     593.729859        0.073209        0.004116 
     594.005372        0.104957        0.003270 
     594.280884        0.115987        0.002572 
     594.556397        0.103096        0.002493 
     594.831910        0.092755        0.002357 
     595.107422        0.066306        0.003882 
     595.382935        0.080654        0.003040 
     595.658448        0.107060        0.002893 
     595.933961        0.109156        0.002903 
     596.209473        0.107126        0.003210 
     596.484986        0.085203        0.003047 
     596.760499        0.067438        0.002948 
     597.036011        0.062218        0.001981 
     597.311524        0.075333        0.002862 
     597.587037        0.106128        0.002365 
     597.862549        0.115330        0.002604 
     598.138062        0.091031        0.002894 
     598.413575        0.069166        0.001653 
     598.689088        0.093978        0.001526 
     598.964600        0.113049        0.002158 
     599.240113        0.108574        0.002060 
     599.515626        0.106169        0.002502 
     599.791138        0.076103        0.002519 
     600.066651        0.061502        0.002690 
     600.342164        0.093189        0.002402 
     600.617676        0.106957        0.002906 
     600.893189        0.109317        0.002713 
     601.168702        0.103400        0.001604 
     601.444215        0.065874        0.001324 
     601.719727        0.074404        0.001910 
     601.995240        0.112298        0.002984 
     602.270753        0.106763        0.002002 
     602.546265        0.110057        0.001960 
     602.821778        0.094495        0.001372 
     603.097291        0.058987        0.001715 
     603.372803        0.086160        0.001881 
     603.648316        0.111604        0.001858 
     603.923829        0.104247        0.002140 
     604.199342        0.100367        0.001772 
     604.474854        0.075943        0.001769 
     604.750367        0.058686        0.002148 
     605.025880        0.093961        0.002212 
     605.301392        0.113852        0.001744 
     605.576905        0.101292        0.001584 
     605.852418        0.100372        0.001396 
     606.127930        0.070415        0.002111 
     606.403443        0.059725        0.001831 
     606.678956        0.103923        0.001708 
     606.954469        0.109828        0.001356 
     607.229981        0.094756        0.002056 
     607.505494        0.089832        0.002593 
     607.781007        0.063050        0.001256 
     608.056519        0.069708        0.001947 
     608.332032        0.110654        0.001285 
     608.607545        0.104647        0.001362 
     608.883057        0.095452        0.001741 
     609.158570        0.085465        0.001420 
     609.434083        0.055143        0.002053 
     609.709596        0.086773        0.001726 
     609.985108        0.111173        0.001341 
     610.260621        0.094672        0.001509 
     610.536134        0.099058        0.001095 
     610.811646        0.074132        0.001437 
     611.087159        0.061486        0.001758 
     611.362672        0.101125        0.001784 
     611.638184        0.103673        0.001801 
     611.913697        0.093879        0.002113 
     612.189210        0.099693        0.001433 
     612.464723        0.065054        0.001677 
     612.740235        0.065599        0.002795 
     613.015748        0.098155        0.001451 
     613.291261        0.083489        0.001957 
     613.566773        0.099463        0.001754 
     613.842286        0.095702        0.001717 
     614.117799        0.056138        0.002210 
     614.393311        0.090031        0.001346 
     614.668824        0.097197        0.001336 
     614.944337        0.080660        0.001931 
     615.219850        0.102072        0.001603 
     615.495362        0.077611        0.001847 
     615.770875        0.059308        0.001314 
     616.046388        0.069212        0.001478 
     616.321900        0.060150        0.001087 
     616.597413        0.056852        0.001659 
     616.872926        0.050804        0.002102 
     617.148438        0.043797        0.001711 
     617.423951        0.045400        0.001817 
     617.699464        0.046459        0.001644 
     617.974977        0.046720        0.001506 
     618.250489        0.059438        0.001439 
     618.526002        0.083637        0.001886 
     618.801515        0.098681        0.001479 
     619.077027        0.092156        0.001666 
     619.352540        0.065050        0.001215 
     619.628053        0.073716        0.001377 
     619.903565        0.106651        0.001438 
     620.179078        0.108072        0.001450 
     620.454591        0.092813        0.001409 
     620.730104        0.069658        0.001503 
     621.005616        0.058585        0.001742 
     621.281129        0.076172        0.001518 
     621.556642        0.108215        0.001435 
     621.832154        0.109220        0.000978 
     622.107667        0.075996        0.001012 
     622.383180        0.064075        0.001264 
     622.658692        0.058483        0.001226 
     622.934205        0.081711        0.001236 
     623.209718        0.110754        0.001355 
     623.485231        0.079354        0.001183 
     623.760743        0.063186        0.000965 
     624.036256        0.061760        0.000978 
     624.311769        0.056808        0.001532 
     624.587281        0.091307        0.001305 
     624.862794        0.086638        0.001141 
     625.138307        0.053880        0.001266 
     625.413819        0.059491        0.000956 
     625.689332        0.056311        0.001197 
     625.964845        0.066079        0.001184 
     626.240358        0.085603        0.001101 
     626.515870        0.061583        0.000725 
     626.791383        0.058428        0.000836 
     627.066896        0.063400        0.001108 
     627.342408        0.054914        0.000921 
     627.617921        0.072447        0.000892 
     627.893434        0.066448        0.000846 
     628.168946        0.057493        0.000969 
     628.444459        0.061455        0.000829 
     628.719972        0.056447        0.001021 
     628.995485        0.060052        0.000984 
