Source:  4STAR 6" Labsphere via SWS to ARCS 455 
Date:    2010-03-08 
Units:   Radiance in W/(m^2.sr.um) 
Source:  4STAR 6" Labsphere via SWS to ARCS 455 
Source:  6" sphere, 2" opening 
Dist:  5.5" 
nm ,   radiance 
302.66, 0.674 
305.96, 0.6851 
309.26, 0.7053 
312.56, 0.7878 
315.86, 0.7602 
319.17,  0.7 
322.47, 0.7882 
325.78, 0.8259 
329.08, 0.8898 
332.39, 1.024 
335.70, 0.9072 
339.01, 1.268 
342.32, 1.367 
345.63, 1.139 
348.94, 1.256 
352.25, 1.448 
355.57, 1.525 
358.88, 1.738 
362.19, 2.002 
365.51, 2.16 
368.82, 2.478 
372.14, 2.66 
375.46, 2.801 
378.78, 3.117 
382.10, 3.402 
385.42, 3.658 
388.74, 4.134 
392.06, 4.532 
395.38, 4.846 
398.70, 5.362 
402.02, 5.758 
405.35, 6.101 
408.67, 6.691 
412.00, 7.077 
415.32, 7.597 
418.65, 8.069 
421.97, 8.674 
425.30, 9.208 
428.63, 9.754 
431.96, 10.46 
435.29, 10.95 
438.62, 11.69 
441.94, 12.39 
445.28, 13.04 
448.61, 13.76 
451.94, 14.56 
455.27, 15.29 
458.60, 16.15 
461.93, 16.92 
465.27, 17.72 
468.60, 18.52 
471.93, 19.43 
475.27, 20.32 
478.60, 21.24 
481.94, 22.16 
485.27, 23.05 
488.61,   24 
491.95,   25 
495.28, 25.99 
498.62, 26.99 
501.96, 28.07 
505.30, 29.05 
508.63, 30.01 
511.97, 31.1 
515.31, 32.12 
518.65, 33.24 
521.99, 34.37 
525.33, 35.41 
528.67, 36.62 
532.01, 37.75 
535.35, 38.78 
538.69, 39.88 
542.03, 40.96 
545.37, 42.14 
548.71, 43.3 
552.05, 44.58 
555.39, 45.69 
558.73, 46.93 
562.07, 48.09 
565.42, 49.28 
568.76, 50.47 
572.10, 51.64 
575.44, 52.8 
578.78, 53.93 
582.13, 55.03 
585.47, 56.15 
588.81, 57.29 
592.15, 58.49 
595.49, 59.69 
598.84, 60.85 
602.18, 62.03 
605.52, 63.15 
608.86, 64.32 
612.21, 65.43 
615.55, 66.5 
618.89, 67.63 
622.23, 68.87 
625.58, 69.95 
628.92, 71.2 
632.26, 72.63 
635.60, 73.89 
638.94, 75.16 
642.28, 76.47 
645.63, 77.47 
648.97, 78.75 
652.31, 79.83 
655.65, 80.94 
658.99, 82.04 
662.33, 83.5 
665.67, 84.92 
669.01, 86.46 
672.35, 88.02 
675.69, 89.55 
679.03, 90.96 
682.37, 92.31 
685.71, 93.43 
689.05, 94.62 
692.39, 95.9 
695.73, 97.11 
699.07, 98.52 
702.40, 99.9 
705.74, 101.3 
709.08, 102.6 
712.42, 103.9 
715.75,  105 
719.09, 106.1 
722.43, 107.1 
725.76,  108 
729.10,  109 
732.43,  110 
735.77, 110.9 
739.10, 111.7 
742.43, 112.4 
745.77, 113.2 
749.10, 113.9 
752.43, 114.6 
755.76,  115 
759.09, 115.6 
762.42, 116.3 
765.76, 116.9 
769.09, 117.5 
772.41, 118.1 
775.74, 118.6 
779.07, 119.2 
782.40, 119.4 
785.73, 119.7 
789.05, 119.9 
792.38,  120 
795.70,  120 
799.03, 120.1 
802.35, 120.3 
805.68, 120.5 
809.00, 120.9 
812.32,  121 
815.64, 121.2 
818.96, 121.6 
822.28, 121.7 
825.60, 121.8 
828.92,  122 
832.24, 122.2 
835.56, 122.5 
838.87, 122.5 
842.19, 122.6 
845.51, 122.8 
848.82, 122.8 
852.13, 122.9 
855.45,  123 
858.76, 123.1 
862.07, 123.1 
865.38, 123.1 
868.69, 123.2 
872.00, 123.2 
875.31, 123.3 
878.61, 123.4 
881.92, 123.6 
885.23, 123.8 
888.53, 123.8 
891.83, 124.4 
895.14, 124.7 
898.44,  125 
901.74, 125.2 
905.04, 125.6 
908.34, 125.7 
911.64, 125.9 
914.93, 125.7 
918.23, 125.9 
921.53, 126.2 
924.82, 126.2 
928.11,  126 
931.40, 126.6 
934.70, 126.6 
937.99, 126.2 
941.27, 126.6 
944.56, 126.6 
947.85, 126.9 
951.13, 127.1 
954.42, 127.3 
957.70, 127.7 
960.99, 128.2 
964.27, 128.4 
967.55, 128.6 
970.83,  129 
974.10, 129.2 
977.38, 129.7 
980.66, 129.5 
983.93, 130.4 
987.20, 130.6 
990.48, 129.9 
993.75, 130.4 
997.02, 130.1 
1000.28, 131.5 
1003.55, 130.2 
1006.82, 131.2 
1010.08, 132.1 
1013.34, 132.2 
1016.61, 131.9 
1019.87, 132.2 
1023.13, 131.7 
1026.38, 132.9 
1029.64, 132.2 
1032.90, 133.1 
1036.15, 133.1 
1039.40, 132.8 
1044.76, 132.9 
1050.87, 133.1 
1056.95, 133.4 
1063.03, 133.4 
1069.09, 133.4 
1075.13, 133.5 
1081.17, 133.4 
1087.19, 133.3 
1093.19, 133.3 
1099.19, 133.3 
1105.17, 133.1 
1111.14, 132.6 
1117.09, 132.1 
1123.03, 131.7 
1128.96, 131.5 
1134.88, 131.5 
1140.78, 131.4 
1146.67, 131.4 
1152.55, 131.5 
1158.42, 131.7 
1164.27, 131.4 
1170.11, 130.6 
1175.94, 129.8 
1181.75, 129.6 
1187.56, 130.2 
1193.35, 130.9 
1199.13,  131 
1204.90, 130.2 
1210.65,  129 
1216.40, 128.1 
1222.13, 127.6 
1227.85, 127.4 
1233.56, 127.1 
1239.26, 126.6 
1244.94, 125.9 
1250.62, 125.3 
1256.28, 124.9 
1261.93, 124.6 
1267.57, 124.3 
1273.20, 123.5 
1278.82, 122.7 
1284.42, 122.4 
1290.02, 122.2 
1295.60, 121.4 
1301.18, 120.7 
1306.74, 120.1 
1312.29, 119.4 
1317.83, 118.7 
1323.36,  118 
1328.88, 117.3 
1334.39, 116.4 
1339.89, 114.9 
1345.38, 112.8 
1350.86,  110 
1356.33, 107.8 
1361.79, 106.5 
1367.23, 106.2 
1372.67, 106.1 
1378.10, 105.5 
1383.52, 104.6 
1388.93, 103.6 
1394.32, 102.7 
1399.71, 101.9 
1405.09,  101 
1410.46, 100.3 
1415.82, 99.44 
1421.17, 98.61 
1426.51, 97.85 
1431.84, 97.5 
1437.16, 97.63 
1442.47, 97.75 
1447.78, 97.62 
1453.07, 97.2 
1458.36, 96.84 
1463.63, 96.35 
1468.90, 96.1 
1474.16, 95.88 
1479.41, 95.73 
1484.65, 95.4 
1489.88,   95 
1495.10, 94.43 
1500.31, 93.91 
1505.52, 93.44 
1510.71, 92.92 
1515.90, 92.44 
1521.08, 91.96 
1526.25, 91.35 
1531.42, 90.71 
1536.57, 90.22 
1541.72, 89.78 
1546.86, 89.25 
1551.99, 88.79 
1557.11, 88.25 
1562.23, 87.58 
1567.33, 86.83 
1572.43, 86.22 
1577.52, 85.65 
1582.61, 85.08 
1587.68, 84.52 
1592.75, 83.81 
1597.81, 83.11 
1602.86, 82.48 
1607.91, 81.83 
1612.95, 81.03 
1617.98, 80.38 
1623.00, 79.58 
1628.02, 78.63 
1633.03, 77.78 
1638.03, 77.07 
1643.03, 76.19 
1648.01, 75.33 
1653.00, 74.52 
1657.97, 73.6 
1662.94, 72.47 
1667.90, 71.27 
1672.85,   70 
1677.80, 68.72 
1682.74, 67.52 
1687.68, 66.75 
1692.60, 66.48 
1697.52, 66.42 
1702.44, 66.1 
1707.35, 65.65 
1712.25, 64.94 
1717.15, 63.91 
1722.04, 62.71 
1726.92, 61.88 
1731.80, 61.43 
1736.67, 61.47 
1741.53, 61.8 
1746.39, 62.34 
1751.25, 62.69 
1756.10, 62.82 
1760.94, 62.62 
1765.77, 62.13 
1770.61, 61.41 
1775.43, 60.63 
1780.25, 59.96 
1785.07, 59.45 
1789.87, 58.96 
1794.68, 58.31 
1799.47, 57.37 
1804.27, 56.29 
1809.06, 55.08 
1813.84, 53.85 
1818.62, 52.63 
1823.39, 51.64 
1828.15, 50.72 
1832.92, 49.9 
1837.67, 49.21 
1842.43, 48.65 
1847.17, 48.04 
1851.92, 47.31 
1856.65, 46.66 
1861.39, 46.09 
1866.12, 45.4 
1870.84, 44.61 
1875.56, 44.12 
1880.27, 43.73 
1884.98,   43 
1889.69, 41.98 
1894.39, 41.05 
1899.09, 40.2 
1903.78, 39.56 
1908.47, 39.08 
1913.16, 38.66 
1917.84, 38.13 
1922.52, 37.69 
1927.19, 37.36 
1931.86, 37.11 
1936.52, 36.91 
1941.18, 36.66 
1945.84, 36.3 
1950.49, 35.86 
1955.14, 35.44 
1959.79, 35.02 
1964.43, 34.52 
1969.07, 33.92 
1973.71, 33.26 
1978.34, 32.49 
1982.97, 31.65 
1987.59, 30.78 
1992.21, 29.95 
1996.83, 29.11 
2001.45, 28.29 
2006.06, 27.45 
2010.67, 26.56 
2015.27, 25.6 
2019.88, 24.57 
2024.48, 23.6 
2029.07, 22.76 
2033.67, 22.04 
2038.26, 21.29 
2042.85, 20.6 
2047.43, 19.98 
2052.01, 19.34 
2056.59, 18.76 
2061.17, 18.33 
2065.74, 17.97 
2070.32, 17.55 
2074.89, 17.11 
2079.45, 16.68 
2084.02, 16.28 
2088.58, 15.85 
2093.14, 15.36 
2097.70, 14.93 
2102.25, 14.58 
2106.80, 14.17 
2111.36, 13.77 
2115.90, 13.56 
2120.45, 13.34 
2124.99, 12.9 
2129.54, 12.58 
2134.08, 12.33 
2138.62, 12.15 
2143.15, 12.07 
2147.69, 12.28 
2152.22, 12.62 
2156.75, 12.92 
2161.28, 13.33 
2165.81, 13.72 
2170.34,   14 
2174.86, 14.17 
2179.38, 14.52 
2183.91, 15.04 
2188.43, 15.66 
2192.95, 16.06 
2197.46, 16.35 
2201.98, 16.69 
2206.49, 17.28 
2211.01, 17.65 
2215.52, 17.77 
2220.03, 17.84 
