Source:  4STAR 6" Labsphere via SWS to ARCS 455 
Date:    2011-03-08 
Units:   Radiance in mW/(m^2.sr.nm) 
Source:  4STAR 6" Labsphere via SWS to ARCS 455 
Source:  6" sphere, 2" opening 
Dist:  5.5" 
nm ,   radiance 
310.00, 0.72024 
311.00, 0.75372 
312.00, 0.78226 
313.00, 0.78708 
314.00, 0.78072 
315.00, 0.77027 
316.00, 0.75845 
317.00, 0.73813 
318.00, 0.7142 
319.00, 0.70038 
320.00, 0.71147 
321.00, 0.74405 
322.00, 0.77778 
323.00, 0.79574 
324.00, 0.80656 
325.00, 0.81637 
326.00, 0.82917 
327.00, 0.84519 
328.00, 0.86433 
329.00, 0.88763 
330.00, 0.92744 
331.00, 0.98141 
332.00, 1.0196 
333.00, 1.0134 
334.00, 0.96789 
335.00, 0.92066 
336.00, 0.91443 
337.00, 1.016 
338.00, 1.165 
339.00, 1.2676 
340.00, 1.312 
341.00, 1.347 
342.00, 1.3654 
343.00, 1.3417 
344.00, 1.25 
345.00, 1.1604 
346.00, 1.1413 
347.00, 1.1677 
348.00, 1.2115 
349.00, 1.2582 
350.00, 1.316 
351.00, 1.3834 
352.00, 1.4389 
353.00, 1.4689 
354.00, 1.4882 
355.00, 1.5089 
356.00, 1.5432 
357.00, 1.6013 
358.00, 1.6733 
359.00, 1.7468 
360.00, 1.828 
361.00, 1.914 
362.00, 1.9895 
363.00, 2.0433 
364.00, 2.0853 
365.00, 2.1309 
366.00, 2.1976 
367.00, 2.2983 
368.00, 2.4062 
369.00, 2.49 
370.00, 2.5516 
371.00, 2.6046 
372.00, 2.6532 
373.00, 2.6964 
374.00, 2.7337 
375.00, 2.7765 
376.00, 2.8395 
377.00, 2.934 
378.00, 3.0406 
379.00, 3.1374 
380.00, 3.2257 
381.00, 3.3113 
382.00, 3.3941 
383.00, 3.4693 
384.00, 3.5391 
385.00, 3.6183 
386.00, 3.7253 
387.00, 3.8714 
388.00, 4.029 
389.00, 4.1687 
390.00, 4.295 
391.00, 4.4146 
392.00, 4.5257 
393.00, 4.6221 
394.00, 4.7088 
395.00, 4.8042 
396.00, 4.9294 
397.00, 5.0904 
398.00, 5.2577 
399.00, 5.4017 
400.00, 5.527 
401.00, 5.6436 
402.00, 5.7554 
403.00, 5.8567 
404.00, 5.9511 
405.00, 6.0574 
406.00, 6.2004 
407.00, 6.3895 
408.00, 6.5822 
409.00, 6.7348 
410.00, 6.8513 
411.00, 6.9582 
412.00, 7.0778 
413.00, 7.2246 
414.00, 7.3868 
415.00, 7.548 
416.00, 7.6942 
417.00, 7.8305 
418.00, 7.9703 
419.00, 8.1269 
420.00, 8.3076 
421.00, 8.4974 
422.00, 8.678 
423.00, 8.843 
424.00, 9.0016 
425.00, 9.1599 
426.00, 9.32 
427.00, 9.4776 
428.00, 9.6424 
429.00, 9.8263 
430.00, 10.044 
431.00, 10.269 
432.00, 10.466 
433.00, 10.619 
434.00, 10.753 
435.00, 10.901 
436.00, 11.09 
437.00, 11.317 
438.00, 11.554 
439.00, 11.775 
440.00, 11.987 
441.00, 12.195 
442.00, 12.399 
443.00, 12.595 
444.00, 12.788 
445.00, 12.985 
446.00, 13.191 
447.00, 13.403 
448.00, 13.621 
449.00, 13.849 
450.00, 14.093 
451.00, 14.341 
452.00, 14.579 
453.00, 14.798 
454.00, 15.01 
455.00, 15.23 
456.00, 15.473 
457.00, 15.736 
458.00,   16 
459.00, 16.248 
460.00, 16.481 
461.00, 16.709 
462.00, 16.94 
463.00, 17.175 
464.00, 17.413 
465.00, 17.651 
466.00, 17.89 
467.00, 18.128 
468.00, 18.371 
469.00, 18.626 
470.00, 18.896 
471.00, 19.174 
472.00, 19.448 
473.00, 19.716 
474.00, 19.984 
475.00, 20.252 
476.00, 20.523 
477.00, 20.796 
478.00, 21.07 
479.00, 21.346 
480.00, 21.625 
481.00, 21.904 
482.00, 22.179 
483.00, 22.446 
484.00, 22.709 
485.00, 22.977 
486.00, 23.254 
487.00, 23.537 
488.00, 23.825 
489.00, 24.117 
490.00, 24.416 
491.00, 24.718 
492.00, 25.018 
493.00, 25.315 
494.00, 25.61 
495.00, 25.906 
496.00, 26.203 
497.00, 26.498 
498.00, 26.798 
499.00, 27.108 
500.00, 27.433 
501.00, 27.762 
502.00, 28.079 
503.00, 28.38 
504.00, 28.672 
505.00, 28.961 
506.00, 29.248 
507.00, 29.53 
508.00, 29.817 
509.00, 30.121 
510.00, 30.447 
511.00, 30.782 
512.00, 31.107 
513.00, 31.414 
514.00, 31.712 
515.00, 32.017 
516.00, 32.34 
517.00, 32.677 
518.00, 33.019 
519.00, 33.358 
520.00, 33.699 
521.00, 34.039 
522.00, 34.371 
523.00, 34.684 
524.00, 34.989 
525.00, 35.303 
526.00, 35.646 
527.00, 36.013 
528.00, 36.385 
529.00, 36.741 
530.00, 37.086 
531.00, 37.424 
532.00, 37.752 
533.00, 38.065 
534.00, 38.368 
535.00, 38.674 
536.00, 38.994 
537.00, 39.325 
538.00, 39.658 
539.00, 39.986 
540.00, 40.306 
541.00, 40.626 
542.00, 40.956 
543.00, 41.3 
544.00, 41.655 
545.00, 42.01 
546.00, 42.358 
547.00, 42.699 
548.00, 43.044 
549.00, 43.404 
550.00, 43.79 
551.00, 44.183 
552.00, 44.558 
553.00, 44.899 
554.00, 45.222 
555.00, 45.55 
556.00, 45.904 
557.00, 46.279 
558.00, 46.658 
559.00, 47.024 
560.00, 47.374 
561.00, 47.719 
562.00, 48.067 
563.00, 48.421 
564.00, 48.778 
565.00, 49.136 
566.00, 49.491 
567.00, 49.847 
568.00, 50.201 
569.00, 50.555 
570.00, 50.908 
571.00, 51.26 
572.00, 51.61 
573.00, 51.957 
574.00, 52.303 
575.00, 52.646 
576.00, 52.988 
577.00, 53.327 
578.00, 53.665 
579.00, 53.999 
580.00, 54.329 
581.00, 54.658 
582.00, 54.987 
583.00, 55.319 
584.00, 55.653 
585.00, 55.988 
586.00, 56.326 
587.00, 56.665 
588.00, 57.007 
589.00, 57.355 
590.00, 57.712 
591.00, 58.073 
592.00, 58.434 
593.00, 58.795 
594.00, 59.156 
595.00, 59.516 
596.00, 59.869 
597.00, 60.217 
598.00, 60.563 
599.00, 60.911 
600.00, 61.264 
601.00, 61.619 
602.00, 61.968 
603.00, 62.307 
604.00, 62.638 
605.00, 62.971 
606.00, 63.312 
607.00, 63.663 
608.00, 64.016 
609.00, 64.362 
610.00, 64.7 
611.00, 65.034 
612.00, 65.364 
613.00, 65.688 
614.00, 66.006 
615.00, 66.326 
616.00, 66.653 
617.00, 66.984 
618.00, 67.321 
619.00, 67.67 
620.00, 68.04 
621.00, 68.421 
622.00, 68.789 
623.00, 69.125 
624.00, 69.44 
625.00, 69.757 
626.00, 70.1 
627.00, 70.463 
628.00, 70.843 
629.00, 71.237 
630.00, 71.658 
631.00, 72.097 
632.00, 72.524 
633.00, 72.919 
634.00, 73.296 
635.00, 73.667 
636.00, 74.042 
637.00, 74.419 
638.00, 74.797 
639.00, 75.179 
640.00, 75.58 
641.00, 75.987 
642.00, 76.368 
643.00, 76.695 
644.00, 76.982 
645.00, 77.27 
646.00, 77.6 
647.00, 77.985 
648.00, 78.388 
649.00, 78.765 
650.00, 79.1 
651.00, 79.418 
652.00, 79.734 
653.00, 80.062 
654.00, 80.394 
655.00, 80.727 
656.00, 81.057 
657.00, 81.373 
658.00, 81.695 
659.00, 82.047 
660.00, 82.454 
661.00, 82.9 
662.00, 83.352 
663.00, 83.781 
664.00, 84.201 
665.00, 84.625 
666.00, 85.064 
667.00, 85.52 
668.00, 85.986 
669.00, 86.452 
670.00, 86.918 
671.00, 87.387 
672.00, 87.853 
673.00, 88.317 
674.00, 88.78 
675.00, 89.237 
676.00, 89.68 
677.00, 90.111 
678.00, 90.532 
679.00, 90.948 
680.00, 91.364 
681.00, 91.776 
682.00, 92.17 
683.00, 92.532 
684.00, 92.865 
685.00, 93.191 
686.00, 93.531 
687.00, 93.883 
688.00, 94.241 
689.00, 94.606 
690.00, 94.982 
691.00, 95.368 
692.00, 95.751 
693.00, 96.119 
694.00, 96.473 
695.00, 96.831 
696.00, 97.213 
697.00, 97.628 
698.00, 98.059 
699.00, 98.487 
700.00, 98.904 
701.00, 99.318 
702.00, 99.733 
703.00, 100.15 
704.00, 100.57 
705.00, 100.99 
706.00, 101.4 
707.00, 101.78 
708.00, 102.16 
709.00, 102.54 
710.00, 102.95 
711.00, 103.37 
712.00, 103.77 
713.00, 104.13 
714.00, 104.46 
715.00, 104.78 
716.00, 105.11 
717.00, 105.44 
718.00, 105.77 
719.00, 106.09 
720.00, 106.41 
721.00, 106.72 
722.00, 107.02 
723.00, 107.29 
724.00, 107.53 
725.00, 107.77 
726.00, 108.04 
727.00, 108.34 
728.00, 108.66 
729.00, 108.98 
730.00, 109.3 
731.00, 109.62 
732.00, 109.93 
733.00, 110.2 
734.00, 110.44 
735.00, 110.67 
736.00, 110.92 
737.00, 111.17 
738.00, 111.44 
739.00, 111.69 
740.00, 111.91 
741.00, 112.13 
742.00, 112.35 
743.00, 112.57 
744.00, 112.8 
745.00, 113.03 
746.00, 113.25 
747.00, 113.45 
748.00, 113.64 
749.00, 113.84 
750.00, 114.05 
751.00, 114.27 
752.00, 114.48 
753.00, 114.65 
754.00, 114.79 
755.00, 114.93 
756.00, 115.08 
757.00, 115.25 
758.00, 115.44 
759.00, 115.63 
760.00, 115.83 
761.00, 116.05 
762.00, 116.26 
763.00, 116.44 
764.00, 116.6 
765.00, 116.76 
766.00, 116.93 
767.00, 117.11 
768.00, 117.31 
769.00, 117.5 
770.00, 117.68 
771.00, 117.87 
772.00, 118.05 
773.00, 118.2 
774.00, 118.34 
775.00, 118.47 
776.00, 118.62 
777.00, 118.81 
778.00, 119.01 
779.00, 119.16 
780.00, 119.25 
781.00, 119.32 
782.00, 119.39 
783.00, 119.48 
784.00, 119.57 
785.00, 119.66 
786.00, 119.73 
787.00, 119.79 
788.00, 119.85 
789.00, 119.89 
790.00, 119.94 
791.00, 119.99 
792.00, 120.02 
793.00, 120.02 
794.00, 120.01 
795.00,  120 
796.00,  120 
797.00, 120.01 
798.00, 120.03 
799.00, 120.07 
800.00, 120.12 
801.00, 120.21 
802.00, 120.3 
803.00, 120.37 
804.00, 120.42 
805.00, 120.47 
806.00, 120.54 
807.00, 120.66 
808.00, 120.78 
809.00, 120.86 
810.00, 120.9 
811.00, 120.92 
812.00, 120.95 
813.00,  121 
814.00, 121.06 
815.00, 121.13 
816.00, 121.22 
817.00, 121.36 
818.00, 121.52 
819.00, 121.6 
820.00, 121.62 
821.00, 121.63 
822.00, 121.64 
823.00, 121.67 
824.00, 121.72 
825.00, 121.78 
826.00, 121.84 
827.00, 121.91 
828.00, 121.98 
829.00, 122.05 
830.00, 122.11 
831.00, 122.17 
832.00, 122.23 
833.00, 122.3 
834.00, 122.39 
835.00, 122.45 
836.00, 122.47 
837.00, 122.47 
838.00, 122.48 
839.00, 122.48 
840.00, 122.51 
841.00, 122.55 
842.00, 122.6 
843.00, 122.65 
844.00, 122.71 
845.00, 122.76 
846.00, 122.79 
847.00, 122.8 
848.00, 122.82 
849.00, 122.84 
850.00, 122.85 
851.00, 122.87 
852.00, 122.9 
853.00, 122.93 
854.00, 122.98 
855.00, 123.03 
856.00, 123.05 
857.00, 123.07 
858.00, 123.09 
859.00, 123.09 
860.00, 123.08 
861.00, 123.07 
862.00, 123.06 
863.00, 123.07 
864.00, 123.09 
865.00, 123.12 
866.00, 123.13 
867.00, 123.14 
868.00, 123.15 
869.00, 123.16 
870.00, 123.17 
871.00, 123.19 
872.00, 123.21 
873.00, 123.23 
874.00, 123.26 
875.00, 123.28 
876.00, 123.31 
877.00, 123.33 
878.00, 123.36 
879.00, 123.41 
880.00, 123.47 
881.00, 123.55 
882.00, 123.63 
883.00, 123.71 
884.00, 123.79 
885.00, 123.83 
886.00, 123.82 
887.00, 123.8 
888.00, 123.77 
889.00, 123.79 
890.00, 123.98 
891.00, 124.23 
892.00, 124.41 
893.00, 124.51 
894.00, 124.59 
895.00, 124.67 
896.00, 124.76 
897.00, 124.86 
898.00, 124.95 
899.00, 125.04 
900.00, 125.11 
901.00, 125.18 
902.00, 125.27 
903.00, 125.4 
904.00, 125.54 
905.00, 125.63 
906.00, 125.66 
